GeneID	Base mean	log2(FC)	StdErr	WalkdStat	P-Value	P-adj
MSTRG.8.1	105474.2901	-2.017768897	0.092533585	-21.80580051	2.04E-105	8.72E-104
MSTRG.33.1	55215.55489	-1.751016471	0.088908903	-19.69450084	2.40E-86	7.69E-85
MSTRG.28.1	224.5396999	-1.255638566	0.223717755	-5.612601318	1.99E-08	1.70E-07
MSTRG.130.1	6260.489895	-1.178991456	0.094508968	-12.47491622	1.02E-35	1.64E-34
MSTRG.134.1	112.0007415	-0.946111176	0.209377691	-4.518681877	6.22E-06	4.19E-05
MSTRG.131.1	55628.19732	-0.915230539	0.083729086	-10.93085548	8.21E-28	1.17E-26
MSTRG.124.1	6761.065017	-0.873427782	0.092433258	-9.449280506	3.41E-21	3.64E-20
MSTRG.129.1	39174.57845	-0.809893527	0.07846062	-10.3222932	5.59E-25	7.15E-24
MSTRG.34.1	2850.235578	-0.789953922	0.139936772	-5.64507748	1.65E-08	1.51E-07
MSTRG.1.1	1.568773663	-0.783349846	0.542440751	-1.444120569	0.148705063	0.288397698
MSTRG.72.2	26.68783715	0.844336884	0.402819263	2.096068786	0.036076089	0.118403576
MSTRG.10.9	7.938209383	0.861680113	0.541820934	1.590341125	0.111757933	0.230726056
MSTRG.122.2	45.63727215	0.924002807	0.460161677	2.007996002	0.044643717	0.124225994
MSTRG.10.7	11.24187265	0.948408581	0.457644339	2.0723704	0.038230912	0.122338917
MSTRG.119.1	161373.9047	1.05746122	0.079286825	13.3371619	1.41E-40	2.57E-39
MSTRG.120.1	4923.984531	1.320436211	0.094205065	14.01661585	1.23E-44	2.63E-43
MSTRG.121.1	9463.622977	1.348420468	0.075730458	17.80552386	6.40E-71	1.64E-69
MSTRG.112.1	6184.300366	2.059056567	0.203081749	10.13905278	3.71E-24	4.31E-23
MSTRG.32.1	14959.57539	2.86558563	0.103339279	27.72987818	3.05E-169	1.95E-167
MSTRG.122.1	90712.9734	3.217790955	0.067494066	47.67516859	0	0
