locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCJPFIPA_00001	gene	1290				
NCJPFIPA_00001	CDS	1290				hypothetical protein
NCJPFIPA_00002	gene	1122	roxA			
NCJPFIPA_00002	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
NCJPFIPA_00003	gene	1464	phoQ			
NCJPFIPA_00003	CDS	1464	phoQ	2.7.13.3	COG0642	Virulence sensor histidine kinase PhoQ
NCJPFIPA_00004	gene	675	phoP			
NCJPFIPA_00004	CDS	675	phoP			Virulence transcriptional regulatory protein PhoP
NCJPFIPA_00005	gene	1371	purB			
NCJPFIPA_00005	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
NCJPFIPA_00006	gene	642	hflD			
NCJPFIPA_00006	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
NCJPFIPA_00007	gene	1107	mnmA			
NCJPFIPA_00007	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NCJPFIPA_00008	gene	462	nudJ			
NCJPFIPA_00008	CDS	462	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
NCJPFIPA_00009	gene	330				
NCJPFIPA_00009	CDS	330				hypothetical protein
NCJPFIPA_00010	gene	738	rluE			
NCJPFIPA_00010	CDS	738	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
NCJPFIPA_00011	gene	1251	icd			
NCJPFIPA_00011	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
NCJPFIPA_00012	gene	885				
NCJPFIPA_00012	CDS	885				hypothetical protein
NCJPFIPA_00013	gene	219				
NCJPFIPA_00013	CDS	219				hypothetical protein
NCJPFIPA_00014	gene	225				
NCJPFIPA_00014	CDS	225				hypothetical protein
NCJPFIPA_00015	gene	789				
NCJPFIPA_00015	CDS	789				hypothetical protein
NCJPFIPA_00016	gene	240	dinI_1			
NCJPFIPA_00016	CDS	240	dinI_1			DNA damage-inducible protein I
NCJPFIPA_00017	gene	522				
NCJPFIPA_00017	CDS	522				hypothetical protein
NCJPFIPA_00018	gene	264				
NCJPFIPA_00018	CDS	264				hypothetical protein
NCJPFIPA_00019	gene	558	ail_1			
NCJPFIPA_00019	CDS	558	ail_1		COG3637	Attachment invasion locus protein
NCJPFIPA_00020	gene	77				
NCJPFIPA_00020	tRNA	77				tRNA-Arg(cct)
NCJPFIPA_00021	gene	345				
NCJPFIPA_00021	CDS	345				hypothetical protein
NCJPFIPA_00022	gene	174				
NCJPFIPA_00022	CDS	174				hypothetical protein
NCJPFIPA_00023	gene	468	ibpA_1			
NCJPFIPA_00023	CDS	468	ibpA_1		COG0071	Small heat shock protein IbpA
NCJPFIPA_00024	gene	1044				
NCJPFIPA_00024	CDS	1044				hypothetical protein
NCJPFIPA_00025	gene	531	yodB			
NCJPFIPA_00025	CDS	531	yodB		COG3038	Cytochrome b561 
NCJPFIPA_00026	gene	315				
NCJPFIPA_00026	CDS	315				hypothetical protein
NCJPFIPA_00027	gene	1587				
NCJPFIPA_00027	CDS	1587				hypothetical protein
NCJPFIPA_00028	gene	975	dppB_1			
NCJPFIPA_00028	CDS	975	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NCJPFIPA_00029	gene	813	dppC_1			
NCJPFIPA_00029	CDS	813	dppC_1		COG1173	Dipeptide transport system permease protein DppC
NCJPFIPA_00030	gene	798	btuD_1			
NCJPFIPA_00030	CDS	798	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NCJPFIPA_00031	gene	591	oppF_1			
NCJPFIPA_00031	CDS	591	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NCJPFIPA_00032	gene	1134				
NCJPFIPA_00032	CDS	1134				hypothetical protein
NCJPFIPA_00033	gene	327	yhjQ			
