#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Prokka_on_dataset_30__gbk	GDEFHHKA_1	38995	39858	-	fliY	1-864/864	===============	0/0	100.00	95.49	vfdb	NP_207820	(fliY) flagellar motor switch protein [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	39862	40926	-	fliM	1-1065/1065	===============	0/0	100.00	97.18	vfdb	NP_207821	(fliM) flagellar motor switch protein FliM [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	40919	41695	-	fliA	1-768/768	========/======	1/9	100.00	95.88	vfdb	NP_207822	(fliA) flagellar biosynthesis sigma factor FliA [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	41992	42876	-	ylxH	1-885/885	===============	0/0	100.00	96.05	vfdb	NP_207824	(ylxH) ATP-binding protein  [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	42873	44252	-	flhF	1-1380/1380	===============	0/0	100.00	97.54	vfdb	NP_207825	(flhF) flagellar biosynthesis protein [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	48184	50385	+	flhA	1-2202/2202	===============	0/0	100.00	97.18	vfdb	NP_207831	(flhA) flagellar biosynthesis protein [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	73515	73889	+	cheY	1-375/375	===============	0/0	100.00	94.93	vfdb	NP_207858	(cheY) chemotaxis response regulator CheY [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	101879	102688	+	flgG	1-810/810	===============	0/0	100.00	96.42	vfdb	NP_207883	(flgG) flagellar basal-body rod protein FlgG [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	108369	109145	-	fliH	1-777/777	===============	0/0	100.00	97.04	vfdb	NP_207151	(fliH) flagellar assembly protein H [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
Prokka_on_dataset_30__gbk	GDEFHHKA_1	109132	110163	-	fliG	1-1032/1032	===============	0/0	100.00	96.42	vfdb	NP_207150	(fliG) flagellar motor switch protein G [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
